Lag (min),Fold,N,Media,Std,Skew,Kurtosis,JB p-val,Normal,BDS p-val,iid
15,Fold 1,33545,-2.6832e-04,1.4796e-03,-2.4501,52.6833,0.0,NO,0.0995,no rechazo
15,Fold 2,33545,-2.2371e-04,1.6317e-03,-1.1837,51.616,0.0,NO,0.0559,no rechazo
15,Fold 3,33545,3.8004e-04,1.5612e-03,-3.0147,35.1398,0.0,NO,0.0674,no rechazo
15,Fold 4,33545,4.8831e-04,1.7892e-03,0.6645,95.0469,0.0,NO,0.0,rechazo
15,Fold 5,33545,2.5475e-04,2.1584e-03,-1.4794,89.558,0.0,NO,0.0,rechazo
30,Fold 1,17137,2.2414e-04,2.2482e-03,0.2716,32.9552,0.0,NO,0.0924,no rechazo
30,Fold 2,17137,3.2043e-04,2.5071e-03,-1.8331,22.5846,0.0,NO,0.1795,no rechazo
30,Fold 3,17137,3.1633e-04,2.7419e-03,-2.6553,33.0707,0.0,NO,0.111,no rechazo
30,Fold 4,17137,7.8080e-04,2.4115e-03,-0.7629,19.8753,0.0,NO,0.0771,no rechazo
30,Fold 5,17137,-5.0216e-05,2.3069e-03,0.0505,103.6406,0.0,NO,0.3658,no rechazo
60,Fold 1,8662,6.5079e-04,3.8448e-03,-1.757,53.2292,0.0,NO,0.4854,no rechazo
60,Fold 2,8662,3.9748e-04,3.9247e-03,4.0542,112.5965,0.0,NO,0.4856,no rechazo
60,Fold 3,8662,-8.8810e-05,3.8801e-03,0.9261,27.2886,0.0,NO,0.475,no rechazo
60,Fold 4,8662,2.0368e-04,4.1895e-03,1.0764,23.7832,0.0,NO,0.1784,no rechazo
60,Fold 5,8663,-4.1121e-04,3.6521e-03,-1.0762,21.7968,0.0,NO,0.5685,no rechazo
90,Fold 1,5796,-1.3487e-04,4.5338e-03,-0.3985,8.5373,0.0,NO,0.5774,no rechazo
90,Fold 2,5796,4.7357e-04,5.0109e-03,-0.4549,26.0438,0.0,NO,0.7769,no rechazo
90,Fold 3,5796,1.8912e-04,4.7873e-03,-3.9011,106.6627,0.0,NO,0.7702,no rechazo
90,Fold 4,5796,8.3740e-04,5.2526e-03,-1.3165,42.5032,0.0,NO,0.6877,no rechazo
90,Fold 5,5796,-1.2788e-03,5.3553e-03,-0.5999,8.6183,0.0,NO,0.3637,no rechazo
